alpha,beta,repair_rate,normal_break_rate
1.0,0.25,0.0,0.0
1.0,0.5,0.0,0.0
1.0,1.0,0.016,0.002
1.0,1.5,0.034,0.004
1.0,2.0,0.038,0.004
1.0,4.0,0.068,0.004
2.0,0.25,0.16,0.01
2.0,0.5,0.16,0.01
2.0,1.0,0.158,0.01
2.0,1.5,0.158,0.01
2.0,2.0,0.154,0.01
2.0,4.0,0.154,0.01
4.0,0.25,0.224,0.016
4.0,0.5,0.214,0.016
4.0,1.0,0.212,0.016
4.0,1.5,0.208,0.016
4.0,2.0,0.204,0.016
4.0,4.0,0.202,0.022
8.0,0.25,0.232,0.018
8.0,0.5,0.232,0.018
8.0,1.0,0.228,0.018
8.0,1.5,0.232,0.018
8.0,2.0,0.224,0.018
8.0,4.0,0.204,0.022
16.0,0.25,0.238,0.018
16.0,0.5,0.24,0.018
16.0,1.0,0.23,0.018
16.0,1.5,0.232,0.018
16.0,2.0,0.222,0.018
16.0,4.0,0.204,0.024
